First Name,Last Name,Full Name,Email,Title,Location,LinkedIn URL,Twitter URL,Instagram URL,Website,Profile URL,Source
Bryn,Taylor,Bryn Taylor,,"Home→Profiles→Bryn TaylorCreated by Bryn TaylorFreelance senior product designer with over 12 years of experience. Based in Copenhagen. Available for remote-friendly freelance work. Most recently at Denmark’s newest unicorn, Pleo. Previously, at Monzo — the fastest growing bank in the UK. Before that, the first design hire at Thriva.Read moreView site →",,https://www.linkedin.com/in/bryntaylor/,https://x.com/bryntaylor99,,https://framer.link/Hlzgec7,https://www.a1.gallery/creator/bryn-taylor,a1.gallery
Oğuz,Yağız Kara,Oğuz Yağız Kara,,"Home→Profiles→Oğuz Yağız KaraCreated by Oğuz Yağız KaraInterface crafter based in somewhere in the
universe.
Experimenting with prototyping and user interfaces. Focused on simplicity, accessibility and interactions to my work. Making magic at Lué Studio ✨View site →",,https://www.linkedin.com/in/oguzyagiz/,https://x.com/oguzyagizkara,,https://www.todesktop.com/,https://www.a1.gallery/creator/oguz-yagiz-kara,a1.gallery
Gev,Martoz,Gev Martoz,,Home→Profiles→Gev MartozCreated by Gev MartozHelping startups solve big product design problemsView site →,,https://www.linkedin.com/in/gev-marotz/,https://x.com/gevdesign,,https://www.krida.ai/,https://www.a1.gallery/creator/gev-martoz,a1.gallery
Benten,Woodring,Benten Woodring,,"Home→Profiles→Benten WoodringCreated by Benten WoodringSr Web Designer @bunsenstudio Featured by Fast Company, Webflow Building
→ @nooon_studio → http://introtoweb.design → @footrdesign → http://daretoshare.designView site →",,,https://x.com/bentenwoodring,,https://emilylonetto.com/,https://www.a1.gallery/creator/benten-woodring,a1.gallery
Jordan,Gilroy,Jordan Gilroy,,Home→Profiles→Jordan GilroyCreated by Jordan GilroyI craft websites that align with your brand and engage your audience – creating meaningful and memorable experiences.View site →,United Kingdom,https://www.linkedin.com/in/jordangilroy/,https://x.com/JordanGilroy,https://www.instagram.com/jordangilroy,https://www.tesoroxp.com/,https://www.a1.gallery/creator/jordan-gilroy,a1.gallery
Alex,Barashkov,Alex Barashkov,,Home→Profiles→Alex BarashkovCreated by Alex BarashkovDesign and development of outstanding marketing websites that convert visitors into customers.View site →,,https://www.linkedin.com/in/barashkov-alex/,https://x.com/alex_barashkov,,https://neon.com/,https://www.a1.gallery/creator/alex-barashkov,a1.gallery
basement.studio,,basement.studio,,Home→Profiles→basement.studioCreated by basement.studioA digital studio & branding powerhouse making cool shit that performs.View site →,,,https://x.com/basementstudio,,https://www.untillabs.com/,https://www.a1.gallery/creator/basement,a1.gallery
James,McDonald,James McDonald,,"Home→Profiles→James McDonaldCreated by James McDonaldI'm James, a freelance visual designer based in the UK. Wireframe Design Studio is my tiny spec on the internet, where I focus on crafting beautiful websites, interfaces and icons.View site →",,,https://x.com/%20jamesm,,https://www.finta.com/,https://www.a1.gallery/creator/james-mcdonald,a1.gallery
Elliott,Mangham,Elliott Mangham,,"Home→Profiles→Elliott ManghamCreated by Elliott ManghamAward-winning creative web developer specialising in WordPress development. 10x Site of the Day winner, working with Disney, Universal Music, and leading agencies worldwide.View site →",United Kingdom,https://www.linkedin.com/in/elliottmangham/,https://x.com/elliottmangham,,https://www.wasolutions.com/,https://www.a1.gallery/creator/elliott-mangham,a1.gallery
Gil,Huybrecht,Gil Huybrecht,,Home→Profiles→Gil HuybrechtCreated by Gil HuybrechtFreelance designer and skateboarder. Jury member @awwwardsView site →,,,https://x.com/gilhuybrecht,https://instagram.com/gil.huybrecht,https://wearemotto.com/,https://www.a1.gallery/creator/gil-huybrecht,a1.gallery
Devin,Fountain,Devin Fountain,,"Home→Profiles→Devin FountainCreated by Devin Fountain⚡️ Freelance Webflow/Framer Designer
🧱 Building @footrdesign @goodtimeagency (he/him)View site →",,,https://x.com/devinsfountain,,https://emilylonetto.com/,https://www.a1.gallery/creator/devin-fountain,a1.gallery
Ilja,van Eck,Ilja van Eck,,"Home→Profiles→Ilja van EckCreated by Ilja van EckIlja van Eck is a 22 year old freelance digital designer and Webflow developer currently based in Antwerp, Belgium. He partners with people and agencies that are looking to create unique Webflow experiences.View site →",Belgium,https://www.linkedin.com/in/ilja-van-eck/,https://x.com/iljavaneck,https://www.instagram.com/by.ilja,https://www.osmo.supply/,https://www.a1.gallery/creator/ilja-van-eck,a1.gallery
Daniel,Sun,Daniel Sun,,Home→Profiles→Daniel SunCreated by Daniel SunDaniel Sun — Your partner in digital designView site →,,https://www.linkedin.com/in/daniel-sun-design,https://x.com/danielsun_ui,,https://danielsun.space/,https://www.a1.gallery/creator/daniel-sun,a1.gallery
Necati,Koçlu,Necati Koçlu,,"Home→Profiles→Necati KoçluCreated by Necati KoçluCo-Founder & Engineer 
@LueStudio.View site →",,https://www.linkedin.com/in/necatikcl/,https://x.com/necatikcl,,https://www.firecrawl.dev/,https://www.a1.gallery/creator/necati-koclu,a1.gallery
Corey,Moen,Corey Moen,,"Home→Profiles→Corey MoenCreated by Corey MoenI'm a midwest family man with a love for design and front-end development. I have a deep desire to consistently learn from others and fuel my skills to design timeless brands, then develop them into reality with code and modern tools like Webflow.View site →",,,https://x.com/CoreyGMoen,,https://www.nocodesupply.co/,https://www.a1.gallery/creator/corey-moen,a1.gallery
Dennis,Snellenberg,Dennis Snellenberg,,Home→Profiles→Dennis SnellenbergCreated by Dennis SnellenbergHelping brands thrive in the digital world. Located in The Netherlands. Delivering tailor-made digital designs and building interactive websites from scratch. © Code by DennisView site →,Netherlands,https://www.linkedin.com/in/dennissnellenberg/,https://x.com/codebydennis,https://www.instagram.com/codebydennis,https://www.osmo.supply/,https://www.a1.gallery/creator/dennis-snellenberg,a1.gallery
Ena,,Ena,,Home→Profiles→EnaCreated by EnaVisually striking and thoughtful crafted framer templates & After Effects resources.View site →,,,https://x.com/ena_supply,,https://ena.lemonsqueezy.com/checkout/buy/72fb439e-b3d0-4a74-a233-0b67b62b5743?aff=wEOEz,https://www.a1.gallery/creator/ena,a1.gallery
Daybreak,Studio,Daybreak Studio,,Home→Profiles→Daybreak StudioCreated by Daybreak StudioA design and technology studio.View site →,,,https://x.com/madebydaybreak,,https://www.adaline.ai/,https://www.a1.gallery/creator/daybreak-studio,a1.gallery
Motto,,Motto,,"Home→Profiles→MottoCreated by MottoMotto® is the leading global branding
agency for positioning, scaling, and
reinventing companies in the tech and
innovation space.View site →",,,,,https://aptosnetwork.com/,https://www.a1.gallery/creator/motto,a1.gallery
Open,Purpose,Open Purpose,,Home→Profiles→Open PurposeCreated by Open PurposeDesign partner for founders.View site →,,,https://x.com/openpurpose,,https://nothing.tech/,https://www.a1.gallery/creator/open-purpose,a1.gallery
Alex,Krasikov,Alex Krasikov,,"Home→Profiles→Alex KrasikovCreated by Alex KrasikovWeb engineer with a focus on design-driven development, enhancing storytelling by building highly polished UIs, animations, and interactive experiences.

Owning the end-to-end development of tech company websites, I work closely with design, marketing, product, and communications teams to turn websites into effective communication tool.Read more",,https://www.linkedin.com/in/alex-krasikov-52741086/,https://x.com/alex_krasikau,,https://operate.so/,https://www.a1.gallery/creator/alex-krasikov,a1.gallery
Code,Resolution®,Code Resolution®,,Home→Profiles→Code Resolution®Created by Code Resolution®Experience self-perpetuating growth by streamlining your processes and delivering consistently exceptional quality with a design and development partner.View site →,,,https://x.com/CodeResolution,,https://www.wasolutions.com/,https://www.a1.gallery/creator/code-resolution-r,a1.gallery
