First Name,Last Name,Full Name,Email,Title,Location,LinkedIn URL,Twitter URL,Instagram URL,Website,Profile URL,Source
Louis,Paquet,Louis Paquet,,,Canada,https://www.linkedin.com/in/louis-paquet-899a2759,https://www.twitter.com/lpaquet83,https://www.instagram.com/louispaquet83,http://louispaquet.com/,https://www.awwwards.com/louispaquet/,awwwards_directory
Zhenya,Rynzhuk,Zhenya Rynzhuk,,,United States,https://www.linkedin.com/in/zhenya-rynzhuk-b4040765,https://www.twitter.com/zhenyary,https://www.instagram.com/zhenyary,https://zhenyary.com/,https://www.awwwards.com/zhenyary/,awwwards_directory
Ilja,van Eck,Ilja van Eck,,,Belgium,https://www.linkedin.com/in/ilja-van-eck,https://www.twitter.com/iljavaneck,https://www.instagram.com/by.ilja,https://www.iljavaneck.com/,https://www.awwwards.com/ilja-van-eck/,awwwards_directory
Niccolò,Miranda,Niccolò Miranda,,,Netherlands,https://www.linkedin.com/in/niccolomiranda,https://www.twitter.com/niccolomiranda,https://www.instagram.com/niccolomiranda,https://www.niccolomiranda.com/,https://www.awwwards.com/niccolo.miranda/,awwwards_directory
Luis,Bizarro,Luis Bizarro,,,United States,https://www.linkedin.com/in/luis-bizarro,https://www.twitter.com/bizar_ro,https://www.instagram.com/bizarro,https://bizar.ro/,https://www.awwwards.com/bizarro/,awwwards_directory
Victor,Work,Victor Work,,,Canada,https://www.linkedin.com/in/workvictor,https://www.twitter.com/victorwork_,https://www.instagram.com/victorwork_,http://victor.work/,https://www.awwwards.com/VictorWork/,awwwards_directory
Dennis,Snellenberg,Dennis Snellenberg,,,Netherlands,https://www.linkedin.com/in/dennissnellenberg,https://project-parallax.com/,https://www.instagram.com/codebydennis,https://dennissnellenberg.com/,https://www.awwwards.com/dennissnellenberg/,awwwards_directory
Jonathan,Da Costa,Jonathan Da Costa,,,France,https://www.linkedin.com/in/jonathandc,https://www.twitter.com/jonathandc,,http://www.jonathandacosta.com/,https://www.awwwards.com/jonathandacosta/,awwwards_directory
Somefolk®,,Somefolk®,,,United Kingdom,,,https://www.instagram.com/bysomefolk,http://www.somefolk.co/,https://www.awwwards.com/Somefolk/,awwwards_directory
Michael,Vestergaard,Michael Vestergaard,,,Denmark,https://www.linkedin.com/in/iliketoplay,,https://www.instagram.com/iliketoplay,https://iliketoplay.dk/,https://www.awwwards.com/iliketoplay/,awwwards_directory
Francesco,Michelini,Francesco Michelini,,,Italy,,https://www.twitter.com/fra_michelini,https://www.instagram.com/fra_michelini,https://www.francescomichelini.com/,https://www.awwwards.com/francescomichelini/,awwwards_directory
