First Name,Last Name,Full Name,Email,Title,Location,LinkedIn URL,Twitter URL,Instagram URL,Website,Profile URL,Source
Victor,Work PRO,"Victor Work
                                                                                                                PRO",,,,https://linkedin.com/in/workvictor,https://twitter.com/victorwork_,https://instagram.com/victorwork_,https://www.awwwards.com/jury-member/VictorWork,https://www.awwwards.com/jury-member/VictorWork,awwwards_jury
Mirko,Santangelo,Mirko Santangelo,,,,,https://twitter.com/mirkosantangelo,,https://www.awwwards.com/jury-member/mirkosantangelo,https://www.awwwards.com/jury-member/mirkosantangelo,awwwards_jury
Matias,Corea,Matias Corea,,,,https://linkedin.com/in/matiascorea,https://twitter.com/matiascorea,,https://www.awwwards.com/jury-member/matias-corea,https://www.awwwards.com/jury-member/matias-corea,awwwards_jury
Zhenya,Rynzhuk PRO,"Zhenya Rynzhuk
                                                                                                                PRO",,,,https://linkedin.com/in/zhenya-rynzhuk-b4040765,https://twitter.com/zhenyary,https://instagram.com/zhenyary,https://www.awwwards.com/jury-member/zhenyary,https://www.awwwards.com/jury-member/zhenyary,awwwards_jury
Robin,Noguier,Robin Noguier,,,,https://linkedin.com/in/robin-noguier/,https://twitter.com/Robin_Noguier,,https://www.awwwards.com/jury-member/robin.noguier,https://www.awwwards.com/jury-member/robin.noguier,awwwards_jury
Renaud,ROHLINGER,Renaud ROHLINGER,,,,,https://twitter.com/onirenaud,,https://www.awwwards.com/jury-member/renaudrohlinger,https://www.awwwards.com/jury-member/renaudrohlinger,awwwards_jury
Tee,Tran,Tee Tran,,,,https://linkedin.com/in/teezilla,,https://instagram.com/teezilla1,https://www.awwwards.com/jury-member/teetran,https://www.awwwards.com/jury-member/teetran,awwwards_jury
Jessica,Hägg,Jessica Hägg,,,,https://linkedin.com/in/jessicahaegg,,,https://www.awwwards.com/jury-member/jessicahagg,https://www.awwwards.com/jury-member/jessicahagg,awwwards_jury
Pablo,Stanley,Pablo Stanley,,,,https://linkedin.com/in/pablostanley1,https://twitter.com/pablostanley,,https://www.awwwards.com/jury-member/pablo-stanley,https://www.awwwards.com/jury-member/pablo-stanley,awwwards_jury
Athena,Tian,Athena Tian,,,,,https://twitter.com/athena_y_tian,,https://www.awwwards.com/jury-member/AthenaTian,https://www.awwwards.com/jury-member/AthenaTian,awwwards_jury
Denis,Avramenko,Denis Avramenko,,,,https://linkedin.com/in/avrdenis,https://twitter.com/avrdenis_,https://instagram.com/avrdenis,https://www.awwwards.com/jury-member/avrdenis,https://www.awwwards.com/jury-member/avrdenis,awwwards_jury
Sara,Svensson,Sara Svensson,,,,https://linkedin.com/in/sarajsvensson/,,,https://www.awwwards.com/jury-member/sarasvensson,https://www.awwwards.com/jury-member/sarasvensson,awwwards_jury
Pier-Luc,Cossette,Pier-Luc Cossette,,,,https://linkedin.com/in/pier-luc-cossette-4913b4b4/,https://twitter.com/plcossette,https://instagram.com/plcossette,https://www.awwwards.com/jury-member/plcossette,https://www.awwwards.com/jury-member/plcossette,awwwards_jury
Robert,Mayer,Robert Mayer,,,,https://linkedin.com/in/mayerr,https://twitter.com/_mayerr,,https://www.awwwards.com/jury-member/robmayer,https://www.awwwards.com/jury-member/robmayer,awwwards_jury
Marlene,Giraud,Marlene Giraud,,,,https://linkedin.com/in/mgiraud,,,https://www.awwwards.com/jury-member/marlene,https://www.awwwards.com/jury-member/marlene,awwwards_jury
Sonali,Ranjit,Sonali Ranjit,,,,,https://twitter.com/thecoookielady,,https://www.awwwards.com/jury-member/sonali-ranjit,https://www.awwwards.com/jury-member/sonali-ranjit,awwwards_jury
Alaa,Alnuaimi,Alaa Alnuaimi,,,,https://linkedin.com/in/alaaalnuaimi/,https://twitter.com/alacaesar,https://instagram.com/alaa.works,https://www.awwwards.com/jury-member/alaaa,https://www.awwwards.com/jury-member/alaaa,awwwards_jury
thenickblackmon,,thenickblackmon,,,,https://linkedin.com/in/nick-blackmon-442705a2/,https://twitter.com/TheNickBlackmon,,https://www.awwwards.com/jury-member/thenickblackmon,https://www.awwwards.com/jury-member/thenickblackmon,awwwards_jury
Julien,Jean,Julien Jean,,,,https://linkedin.com/in/jeanjulienjean,https://twitter.com/jeanjulienjean,,https://www.awwwards.com/jury-member/jeanjulienjean,https://www.awwwards.com/jury-member/jeanjulienjean,awwwards_jury
Georges,Benjamin,Georges Benjamin,,,,,https://twitter.com/gbmpn,https://instagram.com/gbmpn,https://www.awwwards.com/jury-member/gbmpn,https://www.awwwards.com/jury-member/gbmpn,awwwards_jury
